ticket_id,created_at,first_response_at,resolved_at,channel,category,subcategory,status,priority,summary,root_cause_tag,next_action
"CX-202608-0094","2026-08-02 13:00:18","2026-08-02 14:27:18","2026-08-03 12:40:36","전화","가입·온보딩","가입 절차","해결","일반","가입 신청 후 남은 절차를 확인 요청","가입 절차 안내 확인 필요","가입 단계와 필수 항목 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0326","2026-08-02 13:45:25","2026-08-02 15:31:25","2026-08-03 06:31:55","채팅","해지·변경","자동결제 해제","해결","높음","자동결제 해제 후 별도 해지 절차가 필요한지 문의","결제 설정 안내 확인 필요","자동결제 설정 상태와 다음 예정일 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0226","2026-08-02 14:52:22","2026-08-02 16:09:22","2026-08-03 09:11:20","이메일","서비스 이용","이용 방법","해결","일반","중단한 작업을 이어서 진행할 수 있는지 문의 (안내 확인 후)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0152","2026-08-02 16:18:44","2026-08-02 17:59:44","2026-08-05 14:42:09","전화","결제·환불","환불 진행상태","해결","일반","환불 신청 후 처리 상태를 어디서 확인하는지 문의","진행상태 노출 확인 필요","환불 진행상태 확인 후 예상 일정 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0403","2026-08-02 18:58:18","2026-08-03 04:35:18","2026-08-03 12:14:30","채팅","의견·요청","기능 개선 요청","해결","일반","자주 사용하는 메뉴의 위치를 조정해 달라고 요청 (모바일 이용)","이용 동선 확인 필요","활용 맥락 기록 후 개선 검토 목록 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0107","2026-08-02 19:25:36","2026-08-02 20:04:36","2026-08-02 23:22:44","이메일","가입·온보딩","초기 설정","해결","일반","초기 설정을 건너뛰었는데 다시 진행할 수 있는지 문의 (첫 이용)","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0137","2026-08-02 21:02:48","2026-08-03 02:12:48","2026-08-03 10:24:46","앱 리뷰","결제·환불","환불 진행상태","해결","일반","환불 신청 후 처리 상태를 어디서 확인하는지 문의 (안내 확인 후)","진행상태 노출 확인 필요","환불 진행상태 확인 후 예상 일정 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0082","2026-08-02 21:04:45","2026-08-02 21:38:45","2026-08-03 01:34:06","전화","가입·온보딩","초기 설정","해결","일반","초기 설정을 건너뛰었는데 다시 진행할 수 있는지 문의 (모바일 이용)","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0196","2026-08-02 22:29:45","2026-08-03 01:40:45","2026-08-03 12:01:16","앱 리뷰","서비스 이용","이용 방법","해결","일반","중단한 작업을 이어서 진행할 수 있는지 문의 (이용 중 확인)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0402","2026-08-03 09:28:53","2026-08-03 10:47:53","2026-08-03 17:45:12","이메일","의견·요청","불편 의견","해결","일반","도움말 검색에서 원하는 설명을 찾기 어렵다는 의견 (모바일 이용)","탐색 불편 가능성","불편 발생 경로를 분류해 운영 검토 요청 결과 기록 및 재문의 여부 확인"
"CX-202608-0291","2026-08-03 10:48:22","2026-08-03 12:34:22","2026-08-05 02:34:20","채팅","오류·장애","접속 장애","해결","일반","연결이 끊겨 진행 중인 작업을 완료하지 못함 (첫 이용)","서비스 장애 영향 가능성","영향 범위 확인 후 장애 처리 담당 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0354","2026-08-03 12:25:09","2026-08-03 13:44:09","2026-08-04 06:32:04","채팅","정책·혜택","프로모션","해결","일반","진행 중인 프로모션의 참여 조건을 문의 (모바일 이용)","참여 조건 안내 확인 필요","프로모션 기간과 대상 조건 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0384","2026-08-03 15:42:12","2026-08-03 16:21:12","2026-08-04 13:23:54","이메일","의견·요청","불편 의견","해결","일반","메뉴 이름이 비슷해 구분하기 어렵다는 의견 (모바일 이용)","탐색 불편 가능성","불편 발생 경로를 분류해 운영 검토 요청 결과 기록 및 재문의 여부 확인"
"CX-202608-0399","2026-08-03 17:33:34","2026-08-04 00:35:34","2026-08-04 21:46:03","앱 리뷰","의견·요청","기능 개선 요청","해결","일반","자주 사용하는 메뉴의 위치를 조정해 달라고 요청 (첫 이용)","이용 동선 확인 필요","활용 맥락 기록 후 개선 검토 목록 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0323","2026-08-04 08:31:01","2026-08-04 15:05:01","2026-08-07 12:35:38","앱 리뷰","해지·변경","플랜 변경","해결","일반","플랜 변경에 따른 차액 처리 기준을 문의 (모바일 이용)","변경 조건 확인 필요","플랜 적용 시점과 차액 기준 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0332","2026-08-04 09:07:44","2026-08-04 10:35:44","2026-08-04 19:21:07","채팅","해지·변경","구독 해지","해결","일반","해지 신청이 정상 접수되었는지 확인 요청","해지 안내 부족 가능성","해지 상태와 잔여 이용 기간 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0086","2026-08-04 09:38:50","2026-08-04 11:13:50","2026-08-04 17:49:29","이메일","가입·온보딩","가입 절차","해결","일반","가입 도중 중단한 내용을 이어서 입력할 수 있는지 문의","가입 절차 안내 확인 필요","가입 단계와 필수 항목 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0160","2026-08-04 10:33:04","2026-08-04 11:07:04","2026-08-05 14:13:44","이메일","결제·환불","결제수단 변경","해결","일반","다음 결제부터 다른 결제수단을 사용하고 싶음 (모바일 이용)","결제 설정 경로 확인 필요","결제수단 변경 경로와 적용 시점 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0156","2026-08-04 12:56:26","2026-08-04 13:21:26","2026-08-05 04:34:14","전화","결제·환불","결제 실패","해결","일반","결제 시도 후 서비스 이용 권한이 반영되지 않음","결제 상태 확인 필요","승인 내역과 이용 권한 반영 상태 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0325","2026-08-04 14:19:09","2026-08-04 16:09:09","2026-08-04 19:19:57","이메일","해지·변경","구독 해지","해결","일반","구독 해지 후 남은 기간에도 이용할 수 있는지 문의","해지 안내 부족 가능성","해지 상태와 잔여 이용 기간 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0376","2026-08-04 14:37:12","2026-08-04 16:05:12","2026-08-05 09:50:15","전화","정책·혜택","프로모션","해결","일반","이전 참여 이력이 있어도 행사에 참여할 수 있는지 문의 (웹 이용)","참여 조건 안내 확인 필요","프로모션 기간과 대상 조건 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0243","2026-08-04 16:22:33","2026-08-04 18:57:33","2026-08-05 03:06:11","앱 리뷰","서비스 이용","기능 사용법","해결","높음","도움말을 읽었지만 기능 실행 위치를 찾지 못함 (재이용)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0299","2026-08-04 16:56:38","2026-08-05 10:00:38","2026-08-06 09:29:54","채팅","오류·장애","화면 오류","해결","일반","목록 화면이 빈 상태로 표시되어 확인 요청 (웹 이용)","화면 표시 오류 확인 필요","화면 환경과 데이터 갱신 상태 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0255","2026-08-04 18:33:05","2026-08-04 18:53:05","2026-08-07 08:37:47","이메일","서비스 이용","설정 변경","해결","일반","기본 설정으로 되돌리는 방법을 문의 (웹 이용)","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0320","2026-08-04 20:40:18","2026-08-04 21:05:18","2026-08-07 10:33:28","전화","해지·변경","자동결제 해제","해결","일반","다음 자동결제를 중지하는 방법을 문의 (모바일 이용)","결제 설정 안내 확인 필요","자동결제 설정 상태와 다음 예정일 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0067","2026-08-04 21:42:10","2026-08-04 23:02:10","2026-08-05 21:22:25","전화","계정·접근","비밀번호 재설정","해결","일반","비밀번호 변경 안내 메일의 유효시간을 문의","사용 경로 확인 필요","재설정 링크와 안내 절차 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0242","2026-08-05 09:54:24","2026-08-06 05:09:24","2026-08-07 16:58:50","채팅","서비스 이용","이용 방법","해결","일반","이용 이력을 다시 확인하는 방법을 문의 (안내 확인 후)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0208","2026-08-05 11:30:13","2026-08-05 12:59:13","2026-08-05 14:52:31","전화","서비스 이용","콘텐츠/기능 접근","해결","일반","이용 가능한 기능의 범위를 확인 요청","접근 조건 안내 확인 필요","이용 권한과 접근 조건 대조 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0383","2026-08-05 14:03:29","2026-08-05 17:39:29","2026-08-06 00:18:14","앱 리뷰","의견·요청","기능 개선 요청","해결","일반","반복 입력 항목을 줄일 수 있도록 개선 요청 (웹 이용)","이용 동선 확인 필요","활용 맥락 기록 후 개선 검토 목록 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0360","2026-08-05 14:24:00","2026-08-05 16:12:00","2026-08-06 00:59:03","전화","정책·혜택","할인 조건","해결","일반","여러 할인 중 함께 적용할 수 있는 항목을 문의 (모바일 이용)","할인 조건 확인 필요","할인 적용 기준과 중복 조건 대조 결과 기록 및 재문의 여부 확인"
"CX-202608-0356","2026-08-05 17:03:12","2026-08-06 08:33:12","2026-08-06 10:21:11","채팅","정책·혜택","할인 조건","해결","높음","예상한 할인 금액과 실제 표시 금액이 다름","할인 조건 확인 필요","할인 적용 기준과 중복 조건 대조 결과 기록 및 재문의 여부 확인"
"CX-202608-0396","2026-08-05 18:26:07","2026-08-05 19:53:07","2026-08-06 16:33:00","이메일","의견·요청","기능 개선 요청","해결","일반","이용 이력을 더 쉽게 찾을 수 있도록 제안","이용 동선 확인 필요","활용 맥락 기록 후 개선 검토 목록 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0095","2026-08-05 18:33:40","2026-08-05 20:19:40","2026-08-06 20:37:34","채팅","가입·온보딩","사용 시작 방법","해결","높음","첫 이용에 필요한 준비 사항을 확인 요청","사용 시작 경로 확인 필요","첫 이용 가이드와 시작 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0233","2026-08-06 09:05:35","2026-08-06 11:05:35","2026-08-09 15:58:04","이메일","서비스 이용","설정 변경","해결","일반","설정 변경 후 적용 여부를 어디서 확인하는지 문의","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0055","2026-08-06 10:45:32","2026-08-06 20:29:32","2026-08-07 18:53:41","채팅","계정·접근","로그인 실패","해결","높음","비밀번호 입력 후에도 로그인 화면으로 돌아옴 (웹 이용)","인증 오류 확인 필요","인증 상태 및 오류 로그 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0141","2026-08-06 11:50:35","2026-08-06 13:30:35","2026-08-07 00:48:50","전화","결제·환불","환불 진행상태","해결","일반","환불 신청 후 처리 상태를 어디서 확인하는지 문의 (첫 이용)","진행상태 노출 확인 필요","환불 진행상태 확인 후 예상 일정 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0221","2026-08-06 12:02:24","2026-08-06 13:56:24","2026-08-07 11:21:11","이메일","서비스 이용","기능 사용법","해결","일반","이용 중인 기능의 기본 동작 방식을 확인 요청 (도움말 확인 후)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0149","2026-08-06 12:48:06","2026-08-06 14:15:06","2026-08-08 00:44:34","채팅","결제·환불","중복 결제","해결","높음","결제 내역에 동일한 금액이 두 건 표시됨","중복 승인 여부 확인 필요","거래 식별값 대조 후 중복 여부 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0298","2026-08-06 14:17:42","2026-08-06 14:48:42","2026-08-07 19:10:58","이메일","오류·장애","기능 작동 오류","해결","높음","저장 버튼을 눌렀지만 변경 내용이 반영되지 않음","추가 로그 확인 필요","발생 시각과 재현 절차 확인 후 담당 이관 결과 기록 및 재문의 여부 확인"
"CX-202608-0087","2026-08-06 16:10:12","2026-08-06 17:09:12","2026-08-07 02:44:47","채팅","가입·온보딩","초기 설정","해결","일반","초기 설정을 건너뛰었는데 다시 진행할 수 있는지 문의 (재이용)","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0159","2026-08-06 16:13:46","2026-08-06 18:08:46","2026-08-07 08:36:21","채팅","결제·환불","결제 실패","해결","높음","결제 완료 화면이 나타나지 않아 이용을 진행하지 못함","결제 상태 확인 필요","승인 내역과 이용 권한 반영 상태 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0054","2026-08-06 17:40:12","2026-08-06 18:31:12","2026-08-07 00:57:37","채팅","계정·접근","계정 정보 변경","해결","일반","연락처 변경 후 다시 인증해야 하는지 문의 (모바일 이용)","안내 부족 가능성","정보 변경 경로와 인증 조건 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0372","2026-08-06 18:24:30","2026-08-06 20:22:30","2026-08-07 09:27:37","앱 리뷰","정책·혜택","혜택 적용","해결","일반","받은 혜택을 어디에서 사용하는지 문의 (웹 이용)","혜택 상태 확인 필요","혜택 사용 이력과 적용 상태 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0099","2026-08-06 19:21:14","2026-08-06 20:10:14","2026-08-07 11:44:40","채팅","가입·온보딩","초기 설정","해결","일반","가입 완료 후 초기 설정 메뉴 위치를 찾지 못함 (재이용)","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0197","2026-08-06 19:58:27","2026-08-06 21:49:27","2026-08-07 06:42:07","전화","서비스 이용","설정 변경","해결","일반","변경한 설정이 다음 이용에도 유지되는지 문의 (모바일 이용)","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0241","2026-08-06 20:25:34","2026-08-06 22:10:34","2026-08-07 15:23:23","앱 리뷰","서비스 이용","이용 방법","해결","일반","자주 사용하는 메뉴에 빠르게 접근하는 방법을 문의 (모바일 이용)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0369","2026-08-06 20:51:40","2026-08-07 01:32:40","2026-08-07 12:04:14","앱 리뷰","정책·혜택","프로모션","해결","일반","프로모션 참여가 정상 반영되었는지 확인 요청","참여 조건 안내 확인 필요","프로모션 기간과 대상 조건 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0231","2026-08-06 21:19:11","2026-08-06 22:26:11","2026-08-07 11:52:23","전화","서비스 이용","기능 사용법","해결","일반","이용 중인 기능의 기본 동작 방식을 확인 요청 (이용 중 확인)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0123","2026-08-07 12:29:00","2026-08-07 12:57:00","2026-08-08 00:45:08","이메일","결제·환불","환불 기준","해결","높음","환불 가능한 금액이 어떻게 계산되는지 문의 (모바일 이용)","환불 안내 부족 가능성","이용 이력과 환불 기준 확인 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0085","2026-08-07 12:36:36","2026-08-07 19:23:36","2026-08-08 16:15:17","앱 리뷰","가입·온보딩","초기 설정","해결","일반","처음 이용할 때 필요한 설정 순서를 문의 (웹 이용)","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0224","2026-08-07 18:46:20","2026-08-07 20:00:20","2026-08-08 07:52:08","채팅","서비스 이용","이용 방법","해결","높음","이용 이력을 다시 확인하는 방법을 문의 (첫 이용)","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0194","2026-08-07 19:51:27","2026-08-07 21:34:27","2026-08-08 11:27:28","채팅","서비스 이용","기능 사용법","해결","일반","도움말을 읽었지만 기능 실행 위치를 찾지 못함 (웹 이용)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0262","2026-08-07 20:14:54","2026-08-07 21:17:54","2026-08-08 13:15:22","전화","서비스 이용","설정 변경","해결","일반","변경한 설정이 다음 이용에도 유지되는지 문의 (이용 중 확인)","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0119","2026-08-07 22:11:24","2026-08-07 22:25:24","2026-08-08 04:54:11","채팅","결제·환불","환불 기준","해결","일반","사용을 시작한 뒤에도 환불할 수 있는지 문의 (웹 이용)","환불 안내 부족 가능성","이용 이력과 환불 기준 확인 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0276","2026-08-07 22:34:04","2026-08-07 23:59:04","2026-08-08 14:15:29","이메일","오류·장애","화면 오류","해결","일반","목록 화면이 빈 상태로 표시되어 확인 요청","화면 표시 오류 확인 필요","화면 환경과 데이터 갱신 상태 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0118","2026-08-08 15:54:09","2026-08-08 16:13:09","2026-08-08 23:11:51","이메일","가입·온보딩","사용 시작 방법","해결","일반","가입 후 서비스를 어디서 시작하는지 문의 (웹 이용)","사용 시작 경로 확인 필요","첫 이용 가이드와 시작 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0215","2026-08-08 16:03:57","2026-08-08 16:25:57","2026-08-09 00:47:38","채팅","서비스 이용","콘텐츠/기능 접근","해결","높음","이용 가능한 기능의 범위를 확인 요청 (모바일 이용)","접근 조건 안내 확인 필요","이용 권한과 접근 조건 대조 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0230","2026-08-08 19:17:32","2026-08-08 21:37:32","2026-08-08 23:15:10","앱 리뷰","서비스 이용","설정 변경","해결","일반","설정 변경 후 적용 여부를 어디서 확인하는지 문의 (첫 이용)","설정 안내 경로 확인 필요","설정 저장 조건과 변경 경로 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0227","2026-08-08 19:41:08","2026-08-09 06:19:08","2026-08-09 22:18:34","채팅","서비스 이용","콘텐츠/기능 접근","해결","일반","이용 가능한 기능의 범위를 확인 요청 (웹 이용)","접근 조건 안내 확인 필요","이용 권한과 접근 조건 대조 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0258","2026-08-08 19:56:29","2026-08-08 21:23:29","2026-08-09 21:44:35","채팅","서비스 이용","기능 사용법","해결","일반","이용 중인 기능의 기본 동작 방식을 확인 요청 (모바일 이용)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0267","2026-08-08 22:43:17","2026-08-08 23:22:17","2026-08-10 02:30:27","이메일","오류·장애","앱 오류","해결","높음","앱에서 특정 메뉴를 열면 응답이 멈춤 (웹 이용)","앱 환경 확인 필요","앱 버전과 발생 환경 확인 후 재현 요청 결과 기록 및 재문의 여부 확인"
"CX-202608-0317","2026-08-09 08:51:57","2026-08-09 17:17:57","2026-08-10 14:00:40","채팅","해지·변경","플랜 변경","해결","일반","현재 플랜과 다른 플랜의 이용 범위를 확인 요청","변경 조건 확인 필요","플랜 적용 시점과 차액 기준 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0112","2026-08-09 13:10:02","2026-08-09 14:06:02","2026-08-10 10:43:40","채팅","가입·온보딩","가입 절차","해결","일반","가입에 필수인 정보와 선택 정보를 구분해 달라고 요청","가입 절차 안내 확인 필요","가입 단계와 필수 항목 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0064","2026-08-09 16:27:13","2026-08-09 18:06:13","2026-08-10 20:35:52","채팅","계정·접근","로그인 실패","해결","일반","로그인 시도가 반복 실패해 이용을 시작하지 못함 (안내 확인 후)","인증 오류 확인 필요","인증 상태 및 오류 로그 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0193","2026-08-09 18:44:22","2026-08-09 20:22:22","2026-08-10 16:52:16","채팅","서비스 이용","기능 사용법","해결","일반","도움말을 읽었지만 기능 실행 위치를 찾지 못함 (첫 이용)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0397","2026-08-09 20:51:55","2026-08-09 22:18:55","2026-08-12 03:52:19","전화","의견·요청","불편 의견","해결","일반","메뉴 이름이 비슷해 구분하기 어렵다는 의견","탐색 불편 가능성","불편 발생 경로를 분류해 운영 검토 요청 결과 기록 및 재문의 여부 확인"
"CX-202608-0142","2026-08-10 10:28:09","2026-08-10 11:50:09","2026-08-11 19:39:29","채팅","결제·환불","환불 기준","해결","일반","환불 신청 기한과 제외 조건을 확인 요청 (웹 이용)","환불 안내 부족 가능성","이용 이력과 환불 기준 확인 후 안내 결과 기록 및 재문의 여부 확인"
"CX-202608-0068","2026-08-10 14:51:20","2026-08-10 15:37:20","2026-08-11 21:36:34","채팅","계정·접근","인증 오류","해결","일반","본인 인증 단계에서 다음 화면으로 넘어가지 않음 (이용 중 확인)","인증 전달 경로 확인 필요","인증 발송 이력과 만료 조건 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0408","2026-08-10 15:36:00","2026-08-10 15:49:00","2026-08-10 18:18:18","이메일","의견·요청","불편 의견","해결","일반","안내 문구가 길어 핵심 내용을 찾기 어렵다는 의견 (웹 이용)","탐색 불편 가능성","불편 발생 경로를 분류해 운영 검토 요청 결과 기록 및 재문의 여부 확인"
"CX-202608-0312","2026-08-10 15:45:00","2026-08-10 16:37:00","2026-08-10 21:43:15","이메일","오류·장애","접속 장애","해결","높음","접속 대기 화면이 계속 표시되어 확인 요청 (웹 이용)","서비스 장애 영향 가능성","영향 범위 확인 후 장애 처리 담당 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0195","2026-08-10 19:07:49","2026-08-10 21:42:49","2026-08-11 20:25:02","앱 리뷰","서비스 이용","이용 방법","해결","일반","이용 이력을 다시 확인하는 방법을 문의","사용 경로 확인 필요","이용 경로 안내 및 도움말 접근성 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0116","2026-08-10 19:23:41","2026-08-10 19:33:41","2026-08-11 09:21:37","채팅","가입·온보딩","초기 설정","해결","일반","초기 설정을 건너뛰었는데 다시 진행할 수 있는지 문의","온보딩 안내 부족 가능성","초기 설정 도움말 제공 및 노출 위치 검토 결과 기록 및 재문의 여부 확인"
"CX-202608-0270","2026-08-10 20:34:00","2026-08-10 20:44:00","2026-08-11 08:45:42","이메일","오류·장애","접속 장애","해결","일반","접속 대기 화면이 계속 표시되어 확인 요청 (재이용)","서비스 장애 영향 가능성","영향 범위 확인 후 장애 처리 담당 연결 결과 기록 및 재문의 여부 확인"
"CX-202608-0272","2026-08-10 21:04:45","2026-08-10 21:19:45","2026-08-11 09:26:15","채팅","오류·장애","기능 작동 오류","해결","일반","반복 실행해도 요청한 작업이 완료되지 않음","추가 로그 확인 필요","발생 시각과 재현 절차 확인 후 담당 이관 결과 기록 및 재문의 여부 확인"
"CX-202608-0050","2026-08-10 21:30:33","2026-08-10 22:29:33","2026-08-11 19:59:35","채팅","계정·접근","로그인 실패","해결","일반","비밀번호 입력 후에도 로그인 화면으로 돌아옴 (안내 확인 후)","인증 오류 확인 필요","인증 상태 및 오류 로그 확인 결과 기록 및 재문의 여부 확인"
"CX-202608-0186","2026-08-10 21:32:03","2026-08-10 22:10:03","2026-08-13 19:41:35","전화","서비스 이용","기능 사용법","해결","일반","도움말을 읽었지만 기능 실행 위치를 찾지 못함 (문의 재접수)","사용법 안내 부족 가능성","기능 도움말 제공 및 설명 보완 항목 기록 결과 기록 및 재문의 여부 확인"
"CX-202608-0058","2026-08-10 21:33:59","2026-08-10 21:45:59","2026-08-12 05:45:03","채팅","계정·접근","로그인 실패","해결","일반","비밀번호 입력 후에도 로그인 화면으로 돌아옴 (재이용)","인증 오류 확인 필요","인증 상태 및 오류 로그 확인 결과 기록 및 재문의 여부 확인"
